,Class,Distance,P-Value,Name
0,0,0.0,Chattahoochee Valley Community College,1.0
1,0,662521.542595859,Olney Central College,0.0
2,1,0.0,Enterprise State Community College,1.0
3,1,36451.39516282181,Danville Area Community College,0.0
4,1,37308.981089789886,Southeastern Community College,0.0
5,1,37309.0148602297,Southeastern Community College,0.0
6,1,46269.39773978506,Frederick Community College,0.0
7,1,50777.14406562316,Illinois Valley Community College,0.0
8,1,51819.68117305461,St Clair County Community College,0.0
9,1,61690.82428810019,Black River Technical College,0.0
10,1,63900.51369015776,Southwestern Michigan College,0.0
11,1,64395.51369195491,Cape Cod Community College,0.0
12,1,66839.08318998243,Northeast Iowa Community College-Calmar,0.0
13,1,71563.8119025161,Bay de Noc Community College,0.0
14,1,79020.81664530073,University of Arkansas Community College-Morrilton,0.0
15,1,79333.77430509462,Ridgewater College,0.0
16,1,85784.10576162297,Central Lakes College-Brainerd,0.0
17,1,89691.86480138707,South Central College,0.0
18,1,89779.2219292281,Fulton-Montgomery Community College,0.0
19,1,95772.00414594953,Wichita Area Technical College,0.0
20,1,110636.40285448013,Eastern Gateway Community College,0.0
21,1,113270.83534145523,Massachusetts Bay Community College,0.0
22,1,115425.40464670687,Herkimer County Community College,0.0
23,1,115851.75611594334,Southern State Community College,0.0
24,1,121014.66669005381,Tunxis Community College,0.0
25,1,127372.67203756547,Connors State College,0.0
26,1,138417.76490819408,James A Rhodes State College,0.0
27,1,139442.80168436235,Lake Michigan College,0.0
28,1,142739.39860773375,Lehigh Carbon Community College,0.0
29,1,142739.8891993966,Northeast Community College,0.0
30,1,150164.891529028,Delaware Technical Community College-Terry,0.0
31,1,156763.94293773983,Harford Community College,0.0
32,1,158946.11947797114,Hutchinson Community College,0.0
33,1,166217.75943753985,Wilkes Community College,0.0
34,1,170491.56612720434,Raritan Valley Community College,0.0
35,1,171312.46281850876,Honolulu Community College,0.0
36,1,177930.75813728716,New River Community College,0.0
37,1,179833.25620231783,North Central State College,0.0
38,1,181399.95568183152,Victoria College,0.0
39,1,188129.62038926757,Elgin Community College,0.0
