,Class,Distance,Name
0,0,98030.64748073979,Ohio State University Agricultural Technical Institute
1,0,562081.7692285671,Rainy River Community College
2,1,68533.90705673191,Warren County Community College
3,1,85834.16131087752,Gogebic Community College
4,1,142838.09873370483,Washington State Community College
5,1,154207.41529440638,Mitchell Technical Institute
6,1,212900.22429632314,North Country Community College
7,1,239245.05035186402,Texas State Technical College-West Texas
8,1,239255.31316436033,Lincoln Trail College
9,1,290457.05888727854,Northern Maine Community College
10,1,299165.23850107647,Nashua Community College
11,1,391024.4460683996,Garrett College
12,1,401562.2762291243,Dabney S Lancaster Community College
13,1,415335.57778891065,Linn State Technical College
14,1,477752.59750362317,Williston State College
15,1,488143.03053622396,Western Dakota Technical Institute
16,1,533182.4508958329,York County Community College
17,3,66127.35278690654,Clackamas Community College
18,3,97798.02711218517,Minnesota State Community and Technical College
19,3,117645.07817442661,Georgia Highlands College
20,3,120713.62588218912,Luzerne County Community College
21,3,146311.7179538412,Tri-County Technical College
22,3,219748.29451801276,Reading Area Community College
23,3,222830.2113681509,College of Southern Idaho
24,3,270393.6790236651,John Tyler Community College
25,3,273920.02582298056,Genesee Community College
26,3,293455.5436514884,Iowa Western Community College
27,3,355225.432043793,Finger Lakes Community College
28,3,356733.1429271553,Niagara County Community College
29,3,376691.8937460056,Iowa Central Community College
30,3,415766.2778070329,Parkland College
31,3,534928.3735015504,Yakima Valley Community College
32,3,580801.0689273833,Community College of Aurora
33,3,608033.4678137484,Howard Community College
34,3,618630.1417170394,Jefferson College
35,3,642420.6576362479,Virginia Western Community College
36,3,652266.8184574727,Crowder College
37,3,699950.8427951401,Moberly Area Community College
38,3,767636.8791070459,Rose State College
39,3,769876.3410145281,Southwest Texas Junior College
40,3,787686.2150099992,Highline Community College
41,3,836306.5199019045,John A Logan College
42,3,845065.1777246962,Dutchess Community College
43,3,848176.6624863864,Burlington County College
44,3,885602.7265812973,Roane State Community College
45,3,886361.3320522216,Hocking College
46,3,927193.9405281919,Black Hawk College
47,3,970105.107022,North Hennepin Community College
48,3,977364.4850502963,Southern Maine Community College
49,3,1021426.915654192,Southern Union State Community College
50,3,1028701.8155638786,James H Faulkner State Community College
51,3,1031398.9243367916,Three Rivers Community College
52,3,1031398.9243369631,Three Rivers Community College
